Date,Close
Jan 02 2000,24.22
Jan 09 2000,28.02
Jan 16 2000,28.2
Jan 23 2000,27.22
Jan 30 2000,28.82
Feb 06 2000,29.44
Feb 13 2000,29.51
Feb 20 2000,30.35
Feb 27 2000,31.51
Mar 05 2000,31.76
Mar 12 2000,30.91
Mar 19 2000,28.02
Mar 26 2000,26.9
Apr 02 2000,25.04
Apr 09 2000,25.57
Apr 16 2000,25.88
Apr 23 2000,25.74
Apr 30 2000,27.29
May 07 2000,29.62
May 14 2000,29.89
May 21 2000,30
May 28 2000,30.35
Jun 04 2000,30.2
Jun 11 2000,32.33
Jun 18 2000,32.25
Jun 25 2000,32.5
Jul 02 2000,30.28
Jul 09 2000,31.4
Jul 16 2000,28.56
Jul 23 2000,28.18
Jul 30 2000,29.96
Aug 06 2000,31.02
Aug 13 2000,31.99
Aug 20 2000,32.03
Aug 27 2000,33.38
Sep 03 2000,33.63
Sep 10 2000,35.92
Sep 17 2000,32.68
Sep 24 2000,30.84
Oct 01 2000,30.86
Oct 08 2000,34.99
Oct 15 2000,33.75
Oct 22 2000,32.74
Oct 29 2000,32.71
Nov 05 2000,34.02
Nov 12 2000,35.45
Nov 19 2000,35.4
Nov 26 2000,32.02
Dec 03 2000,28.44
Dec 10 2000,28.87
Dec 17 2000,26.18
Dec 24 2000,26.8
Dec 31 2000,27.95
Jan 07 2001,30.05
Jan 14 2001,32.19
Jan 21 2001,29.77
Jan 28 2001,31.19
Feb 04 2001,31.03
Feb 11 2001,29.16
Feb 18 2001,29.04
Feb 25 2001,27.84
Mar 04 2001,28.01
Mar 11 2001,26.74
Mar 18 2001,27.3
Mar 25 2001,26.29
Apr 01 2001,27.06
Apr 08 2001,28.25
Apr 15 2001,27.28
Apr 22 2001,28.27
Apr 29 2001,28.36
May 06 2001,28.55
May 13 2001,29.91
May 20 2001,28.38
May 27 2001,27.93
Jun 03 2001,28.33
Jun 10 2001,28.51
Jun 17 2001,26.83
Jun 24 2001,26.25
Jul 01 2001,28.21
Jul 08 2001,26.59
Jul 15 2001,25.59
Jul 22 2001,27.02
Jul 29 2001,27.62
Aug 05 2001,28.05
Aug 12 2001,26.68
Aug 19 2001,26.9
Aug 26 2001,27.2
Sep 02 2001,28.03
Sep 09 2001,29.53
Sep 16 2001,25.97
Sep 23 2001,23.43
Sep 30 2001,22.39
Oct 07 2001,22.5
Oct 14 2001,21.83
Oct 21 2001,22.03
Oct 28 2001,20.18
Nov 04 2001,22.22
Nov 11 2001,18.03
Nov 18 2001,18.96
Nov 25 2001,19.44
Dec 02 2001,19.04
Dec 09 2001,19.23
Dec 16 2001,19.62
Dec 23 2001,20.41
Dec 30 2001,21.62
Jan 06 2002,19.68
Jan 13 2002,18
Jan 20 2002,19.99
Jan 27 2002,20.38
Feb 03 2002,20.26
Feb 10 2002,21.5
Feb 17 2002,21.07
Feb 24 2002,22.4
Mar 03 2002,23.84
Mar 10 2002,24.51
Mar 17 2002,25.35
Mar 24 2002,26.31
Mar 31 2002,26.21
Apr 07 2002,23.47
Apr 14 2002,26.38
Apr 21 2002,27.11
Apr 28 2002,26.62
May 05 2002,27.99
May 12 2002,28.18
May 19 2002,25.88
May 26 2002,25.31
Jun 02 2002,24.75
Jun 09 2002,25.94
Jun 16 2002,25.82
Jun 23 2002,26.86
Jun 30 2002,26.8
Jul 07 2002,27.48
Jul 14 2002,27.83
Jul 21 2002,26.54
Jul 28 2002,26.84
Aug 04 2002,26.86
Aug 11 2002,29.33
Aug 18 2002,28.63
Aug 25 2002,28.98
Sep 01 2002,29.61
Sep 08 2002,29.81
Sep 15 2002,29.61
Sep 22 2002,30.54
Sep 29 2002,29.62
Oct 06 2002,29.37
Oct 13 2002,29.6
Oct 20 2002,27.05
Oct 27 2002,27.13
Nov 03 2002,25.78
Nov 10 2002,25.51
Nov 17 2002,26.76
Nov 24 2002,26.89
Dec 01 2002,26.93
Dec 08 2002,28.44
Dec 15 2002,30.3
Dec 22 2002,32.72
Dec 29 2002,33.08
Jan 05 2003,31.68
Jan 12 2003,33.91
Jan 19 2003,33.28
Jan 26 2003,33.51
Feb 02 2003,35.12
Feb 09 2003,36.8
Feb 16 2003,35.58
Feb 23 2003,36.6
Mar 02 2003,37.78
Mar 09 2003,35.38
Mar 16 2003,26.91
Mar 23 2003,30.16
Mar 30 2003,28.62
Apr 06 2003,28.14
Apr 13 2003,30.55
Apr 20 2003,26.26
Apr 27 2003,25.67
May 04 2003,27.72
May 11 2003,29.14
May 18 2003,29.16
May 25 2003,29.56
Jun 01 2003,31.28
Jun 08 2003,30.65
Jun 15 2003,30.82
Jun 22 2003,29.27
Jun 29 2003,30.42
Jul 06 2003,31.28
Jul 13 2003,31.96
Jul 20 2003,30.17
Jul 27 2003,32.31
Aug 03 2003,32.18
Aug 10 2003,31.05
Aug 17 2003,31.84
Aug 24 2003,31.57
Aug 31 2003,28.88
Sep 07 2003,28.27
Sep 14 2003,27.03
Sep 21 2003,28.16
Sep 28 2003,30.4
Oct 05 2003,31.97
Oct 12 2003,30.68
Oct 19 2003,30.16
Oct 26 2003,29.11
Nov 02 2003,30.85
Nov 09 2003,32.37
Nov 16 2003,31.61
Nov 23 2003,30.41
Nov 30 2003,30.73
Dec 07 2003,33.04
Dec 14 2003,33.02
Dec 21 2003,32.86
Dec 28 2003,32.52
Jan 04 2004,34.31
Jan 11 2004,35.07
Jan 18 2004,34.94
Jan 25 2004,33.05
Feb 01 2004,32.48
Feb 08 2004,34.56
Feb 15 2004,35.6
Feb 22 2004,36.16
Feb 29 2004,37.26
Mar 07 2004,36.19
Mar 14 2004,38.08
Mar 21 2004,35.73
Mar 28 2004,34.39
Apr 04 2004,37.14
Apr 11 2004,37.74
Apr 18 2004,36.46
Apr 25 2004,37.38
May 02 2004,39.93
May 09 2004,41.38
May 16 2004,39.93
May 23 2004,39.88
May 30 2004,38.49
Jun 06 2004,38.45
Jun 13 2004,38.75
Jun 20 2004,37.55
Jun 27 2004,38.39
Jul 04 2004,39.96
Jul 11 2004,41.25
Jul 18 2004,41.71
Jul 25 2004,43.8
Aug 01 2004,43.95
Aug 08 2004,46.58
Aug 15 2004,47.86
Aug 22 2004,43.18
Aug 29 2004,43.99
Sep 05 2004,42.81
Sep 12 2004,45.59
Sep 19 2004,48.88
Sep 26 2004,50.12
Oct 03 2004,53.31
Oct 10 2004,54.93
Oct 17 2004,55.17
Oct 24 2004,51.76
Oct 31 2004,49.61
Nov 07 2004,47.32
Nov 14 2004,48.44
Nov 21 2004,49.44
Nov 28 2004,42.54
Dec 05 2004,40.71
Dec 12 2004,46.28
Dec 19 2004,44.18
Dec 26 2004,43.45
Jan 02 2005,45.43
Jan 09 2005,48.38
Jan 16 2005,48.53
Jan 23 2005,47.18
Jan 30 2005,46.48
Feb 06 2005,47.16
Feb 13 2005,48.35
Feb 20 2005,51.49
Feb 27 2005,53.78
Mar 06 2005,54.43
Mar 13 2005,56.72
Mar 20 2005,54.84
Mar 27 2005,57.27
Apr 03 2005,53.32
Apr 10 2005,50.49
Apr 17 2005,55.39
Apr 24 2005,49.72
May 01 2005,50.96
May 08 2005,48.67
May 15 2005,46.8
May 22 2005,51.85
May 29 2005,55.03
Jun 05 2005,53.54
Jun 12 2005,58.47
Jun 19 2005,59.84
Jun 26 2005,58.75
Jul 03 2005,59.63
Jul 10 2005,58.09
Jul 17 2005,58.65
Jul 24 2005,60.57
Jul 31 2005,62.31
Aug 07 2005,66.86
Aug 14 2005,65.35
Aug 21 2005,66.13
Aug 28 2005,67.57
Sep 04 2005,64.08
Sep 11 2005,63
Sep 18 2005,64.19
Sep 25 2005,66.24
Oct 02 2005,61.84
Oct 09 2005,62.63
Oct 16 2005,60.63
Oct 23 2005,61.22
Oct 30 2005,60.58
Nov 06 2005,57.53
Nov 13 2005,56.14
Nov 20 2005,58.71
Nov 27 2005,59.32
Dec 04 2005,59.39
Dec 11 2005,58.06
Dec 18 2005,58.43
Dec 25 2005,61.04
Jan 01 2006,64.21
Jan 08 2006,63.92
Jan 15 2006,68.35
Jan 22 2006,67.76
Jan 29 2006,65.37
Feb 05 2006,61.84
Feb 12 2006,59.88
Feb 19 2006,62.91
Feb 26 2006,63.67
Mar 05 2006,59.96
Mar 12 2006,62.77
